Index,Entry-Date,ExitDate,Entry-Price,ExitPrice,Quantity,Instrument-Kind,StrikePrice,ExpiryDate,Position,P/L,P/L-Percentage,DTD,CIM,ITD
,,,,,,,,,,,,,,
1,"Monday, 24 January 2022","Monday, 24 January 2022",76,34.7,6500,CE,38600,27/01/22,Sell,268450,54.34210526,,,40000000
2,"Monday, 24 January 2022","Monday, 24 January 2022",74.4,94.4,6500,PE,36500,27/01/22,Sell,-130000,-26.88172043,138450,138450,40138450
3,"Tuesday, 25 January 2022","Tuesday, 25 January 2022",72.55,92.55,6500,CE,37800,27/01/22,Sell,-130000,-27.56719504,,,40138450
4,"Tuesday, 25 January 2022","Tuesday, 25 January 2022",72.95,9.75,6500,PE,35000,27/01/22,Sell,410800,86.63468129,280800,419250,40419250
5,"Thursday, 27 January 2022","Thursday, 27 January 2022",74.5,94.5,6500,CE,37500,27/01/22,Sell,-130000,-26.84563758,,,40419250
6,"Thursday, 27 January 2022","Thursday, 27 January 2022",72.45,0.2,6500,PE,36600,27/01/22,Sell,469625,99.72394755,339625,758875,40758875
7,"Friday, 28 January 2022","Friday, 28 January 2022",72.6,72.6,6500,CE,41000,03/02/22,Sell,0,0,,,40758875
8,"Friday, 28 January 2022","Friday, 28 January 2022",72,92,6500,PE,35600,03/02/22,Sell,-130000,-27.77777778,-130000,628875,40628875
9,"Monday, 31 January 2022","Monday, 31 January 2022",75.75,75.75,6500,CE,40600,03/02/22,Sell,0,0,,,40628875
10,"Monday, 31 January 2022","Monday, 31 January 2022",74.3,94.3,6500,PE,35800,03/02/22,Sell,-130000,-26.9179004,-130000,498875,40498875
11,"Tuesday, 1 February 2022","Tuesday, 1 February 2022",71.7,91.7,6500,CE,41000,03/02/22,Sell,-130000,-27.89400279,,,40498875
12,"Tuesday, 1 February 2022","Tuesday, 1 February 2022",73.55,73.55,6500,PE,35800,03/02/22,Sell,0,0,-130000,368875,40368875
13,"Wednesday, 2 February 2022","Wednesday, 2 February 2022",70.45,52,6500,CE,39800,03/02/22,Sell,119925,26.18878637,,,40368875
14,"Wednesday, 2 February 2022","Wednesday, 2 February 2022",80.35,15.35,6500,PE,38200,03/02/22,Sell,422500,80.89607965,542425,911300,40911300
15,"Thursday, 3 February 2022","Thursday, 3 February 2022",87.55,87.55,6500,CE,39500,03/02/22,Sell,0,0,,,40911300
16,"Thursday, 3 February 2022","Thursday, 3 February 2022",73.4,93.4,6500,PE,39100,03/02/22,Sell,-130000,-27.2479564,-130000,781300,40781300
17,"Friday, 4 February 2022","Friday, 4 February 2022",78.75,98.75,6500,CE,40200,10/02/22,Sell,-130000,-25.3968254,,,40781300
18,"Friday, 4 February 2022","Friday, 4 February 2022",76.05,76.05,6500,PE,37300,10/02/22,Sell,0,0,-130000,651300,40651300
19,"Monday, 7 February 2022","Monday, 7 February 2022",71,23.4,6500,CE,39900,10/02/22,Sell,309400,67.04225352,,,40651300
20,"Monday, 7 February 2022","Monday, 7 February 2022",78.65,98.65,6500,PE,37600,10/02/22,Sell,-130000,-25.42911634,179400,830700,40830700
21,"Tuesday, 8 February 2022","Tuesday, 8 February 2022",72.85,72.85,6500,CE,39100,10/02/22,Sell,0,0,,,40830700
22,"Tuesday, 8 February 2022","Tuesday, 8 February 2022",71.25,91.25,6500,PE,37100,10/02/22,Sell,-130000,-28.07017544,-130000,700700,40700700
23,"Wednesday, 9 February 2022","Wednesday, 9 February 2022",68.6,72.35,6500,CE,38900,10/02/22,Sell,-24375,-5.466472303,,,40700700
24,"Wednesday, 9 February 2022","Wednesday, 9 February 2022",80.25,100.25,6500,PE,37800,10/02/22,Sell,-130000,-24.92211838,-154375,546325,40546325
25,"Thursday, 10 February 2022","Thursday, 10 February 2022",69,69,6500,CE,39000,10/02/22,Sell,0,0,,,40546325
26,"Thursday, 10 February 2022","Thursday, 10 February 2022",73.3,93.3,6500,PE,38300,10/02/22,Sell,-130000,-27.2851296,-130000,416325,40416325
27,"Friday, 11 February 2022","Friday, 11 February 2022",74.7,74.7,6500,CE,39800,17/02/22,Sell,0,0,,,40416325
28,"Friday, 11 February 2022","Friday, 11 February 2022",71.6,91.6,6500,PE,37100,17/02/22,Sell,-130000,-27.93296089,-130000,286325,40286325
29,"Monday, 14 February 2022","Monday, 14 February 2022",80.45,80.45,6500,CE,38800,17/02/22,Sell,0,0,,,40286325
30,"Monday, 14 February 2022","Monday, 14 February 2022",73.4,93.4,6500,PE,34500,17/02/22,Sell,-130000,-27.2479564,-130000,156325,40156325
31,"Tuesday, 15 February 2022","Tuesday, 15 February 2022",72.1,72.1,6500,CE,38200,17/02/22,Sell,0,0,,,40156325
32,"Tuesday, 15 February 2022","Tuesday, 15 February 2022",74.85,94.85,6500,PE,35600,17/02/22,Sell,-130000,-26.72010688,-130000,26325,40026325
33,"Wednesday, 16 February 2022","Wednesday, 16 February 2022",78.9,78.9,6500,CE,38900,17/02/22,Sell,0,0,,,40026325
34,"Wednesday, 16 February 2022","Wednesday, 16 February 2022",75.35,95.35,6500,PE,37700,17/02/22,Sell,-130000,-26.54280027,-130000,-103675,39896325
35,"Thursday, 17 February 2022","Thursday, 17 February 2022",76.85,0.25,6500,CE,38300,17/02/22,Sell,497900,99.67469096,,,39896325
36,"Thursday, 17 February 2022","Thursday, 17 February 2022",69.15,89.15,6500,PE,37800,17/02/22,Sell,-130000,-28.92263196,367900,264225,40264225
37,"Friday, 18 February 2022","Friday, 18 February 2022",77.55,97.55,6500,CE,39000,24/02/22,Sell,-130000,-25.78981302,,,40264225
38,"Friday, 18 February 2022","Friday, 18 February 2022",73.2,73.2,6500,PE,34800,24/02/22,Sell,0,0,-130000,134225,40134225
39,"Monday, 21 February 2022","Monday, 21 February 2022",72.35,92.35,6500,CE,38700,24/02/22,Sell,-130000,-27.64340014,,,40134225
40,"Monday, 21 February 2022","Monday, 21 February 2022",73.65,33.65,6500,PE,35300,24/02/22,Sell,260000,54.31093007,130000,264225,40264225
41,"Tuesday, 22 February 2022","Tuesday, 22 February 2022",71.35,91.35,6500,CE,38200,24/02/22,Sell,-130000,-28.03083392,,,40264225
42,"Tuesday, 22 February 2022","Tuesday, 22 February 2022",73.55,23.65,6500,PE,34900,24/02/22,Sell,324350,67.8450034,194350,458575,40458575
43,"Wednesday, 23 February 2022","Wednesday, 23 February 2022",84.25,21,6500,CE,38200,24/02/22,Sell,411125,75.07418398,,,40458575
44,"Wednesday, 23 February 2022","Wednesday, 23 February 2022",71.95,91.95,6500,PE,36800,24/02/22,Sell,-130000,-27.79708131,281125,739700,40739700
45,"Thursday, 24 February 2022","Thursday, 24 February 2022",70.5,0.2,6500,CE,37000,24/02/22,Sell,456950,99.71631206,,,40739700
46,"Thursday, 24 February 2022","Thursday, 24 February 2022",70.8,90.8,6500,PE,35600,24/02/22,Sell,-130000,-28.24858757,326950,1066650,41066650
47,"Friday, 25 February 2022","Friday, 25 February 2022",73.5,93.5,6500,CE,38000,03/03/22,Sell,-130000,-27.21088435,,,41066650
48,"Friday, 25 February 2022","Friday, 25 February 2022",73.2,73.2,6500,PE,32800,03/03/22,Sell,0,0,-130000,936650,40936650
49,"Monday, 28 February 2022","Monday, 28 February 2022",78,78,6500,CE,37300,03/03/22,Sell,0,0,,,40936650
50,"Monday, 28 February 2022","Monday, 28 February 2022",75.35,95.35,6500,PE,33000,03/03/22,Sell,-130000,-26.54280027,-130000,806650,40806650
51,"Wednesday, 2 March 2022","Wednesday, 2 March 2022",71.65,56.1,6500,CE,36700,03/03/22,Sell,101075,21.70272156,,,40806650
52,"Wednesday, 2 March 2022","Wednesday, 2 March 2022",75.95,23,6500,PE,33300,03/03/22,Sell,344175,69.71691903,445250,1251900,41251900
53,"Thursday, 3 March 2022","Thursday, 3 March 2022",73.45,0.3,6500,CE,36000,03/03/22,Sell,475475,99.59155888,,,41251900
54,"Thursday, 3 March 2022","Thursday, 3 March 2022",85.45,105.45,6500,PE,35300,03/03/22,Sell,-130000,-23.40550029,345475,1597375,41597375
55,"Friday, 4 March 2022","Friday, 4 March 2022",78.5,98.5,6500,CE,36400,10/03/22,Sell,-130000,-25.47770701,,,41597375
56,"Friday, 4 March 2022","Friday, 4 March 2022",72.8,72.8,6500,PE,31100,10/03/22,Sell,0,0,-130000,1467375,41467375
57,"Monday, 7 March 2022","Monday, 7 March 2022",74.1,74.1,6500,CE,35200,10/03/22,Sell,0,0,,,41467375
