Breakdown,2022,2021,2020
Total Revenue,1019413700,936662200,791746400
Credit Losses Provision,-126979500,-154233400,-117621900
Non Interest Expense,373272000,342602300,308280500
Pretax Income,519162200,439826500,365844000
Tax Provision,132559200,113820100,105480000
Net Income Common Stockholders,386000400,325977100,260269900
Diluted NI Available to Com Stockholders,386000400,325977100,260269900
Basic EPS,-,59.27,47.59
Diluted EPS,-,59.02,47.27
Basic Average Shares,-,5499587,5468802
Diluted Average Shares,-,5523478,5505793
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,621860000,529453100,475905500
Net Income from Continuing & Discontinued Operation,386000400,325977100,260269900
Normalized Income,386000400,325977100,260269900
Total Money Market Investments,-,24143000,18289300
Reconciled Depreciation,16816900,13860200,12800300
Net Income from Continuing Operation Net Minority Interest,386000400,325977100,260269900
Tax Rate for Calcs,0,0,0
Tax Effect of Unusual Items,0,0,0
